camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut_verb
Sinme_1875,Sinme_1875,Sinme_1875,Sinme_6336,Sinme_2080,Sinme_2080
Sinme_4283,Sinme_6336,Sinme_2080,Sinme_4187,Sinme_1490,Sinme_6336
Sinme_2081,Sinme_4187,Sinme_4283,Sinme_4410,Sinme_1214,Sinme_4187
Sinme_2093,Sinme_4283,Sinme_1490,Sinme_2093,Sinme_2093,Sinme_1490
Sinme_1090,Sinme_4410,Sinme_2081,Sinme_1090,Sinme_1090,Sinme_4410
Sinme_1763,Sinme_2081,Sinme_1214,Sinme_4688,Sinme_1505,Sinme_1214
Sinme_1209,Sinme_4688,Sinme_1505,Sinme_1209,Sinme_1773,Sinme_4688
Sinme_1027,Sinme_1763,Sinme_1773,Sinme_0762,Sinme_3473,Sinme_1505
Sinme_1170,Sinme_1027,Sinme_3473,Sinme_0712,Sinme_1273,Sinme_1773
Sinme_0746,Sinme_0762,Sinme_1273,Sinme_1504,Sinme_1209,Sinme_3473
Sinme_2008,Sinme_0712,Sinme_1763,Sinme_1170,Sinme_1170,Sinme_1273
Sinme_0931,Sinme_1504,Sinme_1027,Sinme_1123,Sinme_0669,Sinme_0762
Sinme_1916,Sinme_1123,Sinme_0669,Sinme_1619,Sinme_0339,Sinme_0712
Sinme_2021,Sinme_1619,Sinme_0339,Sinme_1165,Sinme_0931,Sinme_1504
Sinme_2221,Sinme_1165,Sinme_0746,Sinme_1160,Sinme_1156,Sinme_1123
Sinme_1138,Sinme_1160,Sinme_2008,Sinme_3011,Sinme_1916,Sinme_1619
Sinme_1158,Sinme_0746,Sinme_1156,Sinme_4376,Sinme_6932,Sinme_0669
Sinme_1159,Sinme_2008,Sinme_6932,Sinme_0931,Sinme_2021,Sinme_0339
Sinme_0675,Sinme_3011,Sinme_1973,Sinme_1802,Sinme_2221,Sinme_1165
Sinme_4649,Sinme_4376,Sinme_1912,Sinme_1916,Sinme_1138,Sinme_1160
Sinme_1089,Sinme_1802,Sinme_1158,Sinme_1306,Sinme_1973,Sinme_3011
Sinme_4905,Sinme_1306,Sinme_0675,Sinme_2021,Sinme_1912,Sinme_4376
Sinme_1163,Sinme_1151,Sinme_2249,Sinme_1151,Sinme_1159,Sinme_1156
Sinme_1168,Sinme_1158,Sinme_1246,Sinme_2221,Sinme_2249,Sinme_1802
Sinme_4235,Sinme_0675,Sinme_4649,Sinme_1138,Sinme_1246,Sinme_1306
Sinme_1876,Sinme_1703,Sinme_1089,Sinme_1159,Sinme_4905,Sinme_6932
Sinme_0711,Sinme_5829,Sinme_1163,Sinme_1703,Sinme_4235,Sinme_1151
Sinme_1800,Sinme_4649,Sinme_1168,Sinme_5829,Sinme_1876,Sinme_1973
Sinme_1502,Sinme_1089,Sinme_1226,Sinme_1171,Sinme_0711,Sinme_1912
Sinme_6933,Sinme_1171,Sinme_1166,Sinme_2772,Sinme_1226,Sinme_2249
Sinme_4392,Sinme_2772,Sinme_6933,Sinme_4905,Sinme_1800,Sinme_1703
