sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
1,SinmeB_0005,1377,1377,1377,1375,1375,316
2,SinmeB_0016,1375,316,247,1372,1372,90
3,SinmeB_0017,1372,90,310,316,197,441
4,SinmeB_0046,197,247,216,90,1354,139
5,SinmeB_0075,1354,441,725,197,1381,425
6,SinmeB_0078,247,310,655,1354,725,725
7,SinmeB_0080,1381,139,99,1381,142,284
8,SinmeB_0085,310,425,220,441,239,1300
9,SinmeB_0099,216,216,239,139,681,239
10,SinmeB_0103,655,284,389,425,431,389
11,SinmeB_0104,99,655,232,284,389,724
12,SinmeB_0108,142,99,642,1300,319,642
13,SinmeB_0112,220,1300,387,142,1352,300
14,SinmeB_0131,681,220,336,681,642,361
15,SinmeB_0151,431,724,257,431,299,387
16,SinmeB_0154,232,232,333,724,1279,336
17,SinmeB_0155,319,300,321,319,251,257
18,SinmeB_0162,1352,361,337,1352,1114,335
19,SinmeB_0163,299,335,411,299,424,179
20,SinmeB_0206,1279,179,184,1279,387,321
21,SinmeB_0212,251,333,1263,300,336,328
22,SinmeB_0214,1114,328,266,251,257,402
23,SinmeB_0220,424,337,289,361,229,411
24,SinmeB_0232,333,402,207,1114,321,184
25,SinmeB_0235,229,230,180,424,279,230
26,SinmeB_0238,279,238,223,335,411,238
27,SinmeB_0277,337,266,231,179,184,1263
28,SinmeB_0278,237,172,1264,229,1263,289
29,SinmeB_0279,266,1264,366,328,237,172
30,SinmeB_0285,178,478,380,279,289,207
31,SinmeB_0302,259,1262,211,402,207,180
32,SinmeB_0309,1264,380,367,230,180,223
33,SinmeB_0311,1732,234,660,238,178,231
34,SinmeB_0324,380,432,208,237,223,366
35,SinmeB_0329,263,367,265,172,231,211
36,SinmeB_0337,1388,1102,479,178,259,478
37,SinmeB_0344,186,208,404,259,366,1262
38,SinmeB_0349,175,435,1301,1732,1732,234
39,SinmeB_0350,367,404,434,263,263,432
40,SinmeB_0354,757,434,370,478,211,1102
41,SinmeB_0355,1686,1668,199,1262,1388,660
42,SinmeB_0356,208,1121,683,1388,186,265
43,SinmeB_0373,874,162,1121,186,175,479
44,SinmeB_0378,404,177,162,234,757,435
45,SinmeB_0380,434,365,177,432,660,1301
46,SinmeB_0381,444,668,668,175,1686,370
47,SinmeB_0382,1121,196,196,757,265,199
48,SinmeB_0395,1401,296,371,1102,479,1668
49,SinmeB_0398,162,371,430,1686,874,683
50,SinmeB_0399,177,1332,436,874,1301,365
51,SinmeB_0405,668,666,301,435,370,296
52,SinmeB_0406,196,322,1332,444,444,430
53,SinmeB_0420,134,1402,322,1668,199,436
54,SinmeB_0433,368,254,129,365,1401,301
55,SinmeB_0436,371,466,254,296,683,666
56,SinmeB_0437,1242,1685,219,134,134,129
57,SinmeB_0438,233,218,466,368,368,219
58,SinmeB_0439,1332,141,1685,1242,1242,1402
59,SinmeB_0442,322,204,191,1401,430,191
60,SinmeB_0445,254,185,141,233,436,218
61,SinmeB_0448,466,339,204,666,301,339
62,SinmeB_0452,452,222,185,1402,233,2038
63,SinmeB_0454,1396,369,2038,452,129,222
64,SinmeB_0461,1685,390,390,1396,219,369
65,SinmeB_0481,96,294,294,218,452,883
66,SinmeB_0487,201,298,298,96,1396,1390
67,SinmeB_0496,141,214,883,201,191,113
68,SinmeB_0516,204,143,1390,339,96,639
69,SinmeB_0538,185,304,113,222,201,214
70,SinmeB_0539,390,260,639,369,2038,1374
71,SinmeB_0541,518,480,1374,518,518,1483
72,SinmeB_0545,294,314,1483,338,883,143
73,SinmeB_0547,298,449,480,214,338,304
74,SinmeB_0548,338,192,314,217,1390,260
75,SinmeB_0553,217,487,253,502,113,253
76,SinmeB_0556,502,455,192,146,1105,449
77,SinmeB_0557,146,224,455,143,639,487
78,SinmeB_0558,1257,282,224,1257,217,80
79,SinmeB_0564,480,292,282,304,502,261
80,SinmeB_0568,314,674,80,260,1374,292
81,SinmeB_0572,225,268,261,225,146,674
82,SinmeB_0579,1105,1188,399,449,1483,399
83,SinmeB_0584,1698,61,249,1698,1257,268
84,SinmeB_0590,192,75,1188,487,225,249
85,SinmeB_0591,455,128,61,437,253,75
86,SinmeB_0613,224,210,671,37,1698,671
87,SinmeB_0620,437,421,297,1106,437,297
88,SinmeB_0635,282,376,117,292,37,117
89,SinmeB_0636,37,1253,317,182,80,1106
90,SinmeB_0637,182,903,325,674,261,128
91,SinmeB_0642,477,1106,403,1105,182,210
92,SinmeB_0643,1188,398,376,268,477,317
93,SinmeB_0644,61,312,395,477,399,325
94,SinmeB_0646,119,166,313,75,249,403
95,SinmeB_0648,381,1589,166,119,671,421
96,SinmeB_0654,163,158,1589,381,297,1253
97,SinmeB_0660,376,250,426,128,117,903
98,SinmeB_0669,364,135,504,210,119,395
99,SinmeB_0670,1641,1448,1394,163,381,398
100,SinmeB_0685,189,302,2071,421,317,312
101,SinmeB_0690,741,278,158,364,163,313
102,SinmeB_0701,1481,1117,1479,1641,325,426
103,SinmeB_0707,401,79,250,1253,403,504
104,SinmeB_0709,687,258,379,903,364,1394
105,SinmeB_0710,307,571,1448,189,1641,2071
106,SinmeB_0717,166,1149,277,741,189,1479
107,SinmeB_0718,1589,190,1236,1481,395,379
108,SinmeB_0725,295,228,121,401,741,135
109,SinmeB_0726,1250,1011,293,687,1481,277
110,SinmeB_0727,158,202,302,398,401,1236
111,SinmeB_0728,250,1379,278,307,687,121
112,SinmeB_0729,1448,236,1249,312,307,293
113,SinmeB_0730,302,116,1117,295,313,1249
114,SinmeB_0733,167,145,258,1250,426,79
115,SinmeB_0741,278,1387,571,135,295,418
116,SinmeB_0744,1736,400,1149,167,1250,646
117,SinmeB_0752,393,1480,418,1736,504,362
118,SinmeB_0759,1117,408,646,393,1394,190
119,SinmeB_0781,498,290,362,79,2071,1120
120,SinmeB_0786,258,415,1120,498,1479,203
121,SinmeB_0794,571,1306,228,1089,379,72
122,SinmeB_0804,1089,306,203,315,277,1386
123,SinmeB_0806,315,256,72,448,1236,202
124,SinmeB_0807,1149,264,1386,1270,121,281
125,SinmeB_0817,448,505,1011,190,293,1667
126,SinmeB_0818,1270,272,1379,885,167,116
127,SinmeB_0825,885,1935,281,205,1736,675
128,SinmeB_0827,228,1810,1667,291,393,176
129,SinmeB_0837,205,262,236,209,1249,165
130,SinmeB_0838,291,248,145,391,498,407
131,SinmeB_0860,209,1129,1387,1091,1089,1684
132,SinmeB_0861,391,1407,675,1416,315,256
133,SinmeB_0862,1011,396,400,202,448,264
134,SinmeB_0863,1091,684,176,685,418,383
135,SinmeB_0880,1416,88,1480,116,646,272
136,SinmeB_0882,1379,69,408,100,362,248
137,SinmeB_0884,685,363,165,673,1270,280
138,SinmeB_0885,236,280,290,397,885,71
139,SinmeB_0889,100,71,407,1688,1120,1726
140,SinmeB_0907,145,181,1684,1683,205,417
141,SinmeB_0910,1387,1726,415,271,291,438
142,SinmeB_0915,400,417,1306,372,209,682
143,SinmeB_0928,1480,438,306,564,203,324
144,SinmeB_0934,408,682,505,127,72,1330
145,SinmeB_0958,290,324,383,256,1386,457
146,SinmeB_0964,673,1104,1935,264,391,450
147,SinmeB_0973,397,1331,1810,255,1091,1245
148,SinmeB_0974,1688,274,262,272,1416,1413
149,SinmeB_0990,415,457,1129,412,685,879
150,SinmeB_0992,1683,318,1407,22,281,422
151,SinmeB_0993,271,1245,396,248,1667,309
152,SinmeB_1000,372,879,684,280,100,194
153,SinmeB_1001,1306,680,88,71,675,1669
154,SinmeB_1002,564,726,69,1726,176,120
155,SinmeB_1003,306,194,363,417,673,169
156,SinmeB_1004,127,120,181,438,397,308
157,SinmeB_1005,505,308,1104,682,165,195
158,SinmeB_1006,255,1266,1331,1272,1688,651
159,SinmeB_1012,1935,1309,1330,324,1683,1266
160,SinmeB_1013,412,1373,274,1355,407,144
161,SinmeB_1024,22,198,450,457,1684,1309
162,SinmeB_1031,1810,1384,318,1245,271,1373
163,SinmeB_1032,262,463,1413,879,372,98
164,SinmeB_1037,1129,1697,422,194,564,198
165,SinmeB_1038,1407,384,680,385,127,1384
166,SinmeB_1049,396,168,726,120,255,161
167,SinmeB_1050,684,183,309,331,383,663
168,SinmeB_1051,88,461,1669,1335,412,227
169,SinmeB_1052,69,423,169,308,22,1697
170,SinmeB_1053,363,678,195,377,1272,667
171,SinmeB_1054,181,330,651,1266,1355,215
172,SinmeB_1056,1272,1512,144,1309,1330,636
173,SinmeB_1057,1104,170,98,456,450,1809
174,SinmeB_1058,1355,1964,463,1373,1413,168
175,SinmeB_1059,1331,975,161,198,422,462
176,SinmeB_1069,274,453,663,221,309,183
177,SinmeB_1077,318,1096,227,1384,1669,461
178,SinmeB_1078,680,664,667,171,385,1376
179,SinmeB_1079,726,226,384,323,331,678
180,SinmeB_1080,385,1100,215,104,1335,500
181,SinmeB_1082,331,212,636,275,169,1512
182,SinmeB_1083,1335,112,1809,1697,195,1965
183,SinmeB_1084,377,174,462,460,377,1964
184,SinmeB_1085,456,459,1376,168,651,458
185,SinmeB_1087,221,503,423,183,144,453
186,SinmeB_1095,171,672,500,461,456,1116
187,SinmeB_1099,463,419,330,464,98,273
188,SinmeB_1100,323,443,170,678,221,1103
189,SinmeB_1114,104,1962,1965,267,171,226
190,SinmeB_1117,275,659,975,1512,161,329
191,SinmeB_1118,460,969,458,1964,323,112
192,SinmeB_1131,384,108,1096,453,663,109
