camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut.verb
SMa0866,SMa0850,SMa0851,SMa0850,SMa0851,SMa0851
SMa0853,SMa0868,SMa0869,SMa0868,SMa0869,SMa0869
SMa0864,SMa0864,SMa0864,SMa0866,SMa0866,SMa0850
SMa0852,SMa0852,SMa0852,SMa0853,SMa0853,SMa0868
SMc02040,SMa0104,SMa0863,SMc02040,SMa0863,SMa0863
SM_b21281,SM_b21285,SMc02513,SM_b21281,SMc02040,SMc02513
SMc02229,SMc02042,SMc03824,SMc02229,SM_b21281,SMc03824
SMa2404,SMc00321,SMa2400,SMa2404,SMc02513,SMa2400
SM_b21285,SMa2402,SMa2408,SMa0104,SMc03824,SMa2408
SMa0876,SMc04294,SMc03008,SMc02042,SMc02229,SMc03008
SMa2000,SMa2410,SM_b21285,SMa0876,SMa2400,SMa0104
SMc04293,SMa2008,SMc00887,SMa2000,SMa2404,SMc02042
SMc04452,SM_b20020,SMa2402,SMa2347,SMa2408,SMc00887
SMa2347,SMc00949,SM_b21292,SMc04293,SMc03008,SMc00321
SMa2402,SMc02382,SMa2410,SMc04452,SMc00887,SM_b21292
SMc00978,SMc01290,SMa1550,SMc00321,SMa0876,SMc04294
SMc04288,SM_b20149,SM_b21505,SMc04294,SMa2000,SMa1550
SMa0473,SMc03238,SMc00277,SMc00978,SMa2347,SM_b21505
SMa2410,SMc04290,SMc02582,SMc04288,SMc04293,SMc00277
SM_b21377,SMa2339,SM_b21640,SMa0473,SMc04452,SMa2008
SMc01169,SMa2215,SMc02172,SM_b21377,SM_b21292,SMc02582
SMa0101,SMc00485,SM_b21176,SMc01169,SMc00978,SM_b20020
SMc00992,SMc00566,SMc03201,SMa2008,SMc04288,SMc00949
SMc01283,SMa0878,SMa2339,SMa0101,SMa0473,SMc02382
SMc02376,SM_b21177,SMc01180,SMc00992,SM_b21377,SM_b21640
SMc00467,SMc04458,SMc02243,SM_b20020,SMa1550,SMc02172
SMa2339,SMc00977,SM_b21274,SMc00949,SM_b21505,SMc01290
SMc02501,SMc03158,SM_b21177,SMc02382,SMc00277,SM_b20149
SM_b21177,SM_b21273,SMc00977,SMc01283,SMc01169,SMc03238
SMc00977,SM_b21113,SMc01848,SMc01290,SMc02582,SM_b21176
SMc04301,SMc02866,SMc02044,SM_b20149,SMa0101,SMc03201
SM_b20368,SMc04301,SMc03090,SMc03238,SMc00992,SMc04290
SMa0848,SM_b20368,SMc03159,SMc02376,SMc01283,SMc01180
SMc03167,SMa0848,SMc02436,SMc04290,SM_b21640,SMa2215
SMc01778,SMc01778,SMc04301,SMc00467,SMc02172,SMc02243
SMc01292,SMc01292,SM_b20368,SMa2215,SMc02376,SM_b21274
SMa0875,SMa0875,SMa0848,SMc00485,SM_b21176,SMc00485
SMc03143,SMc03167,SMc01778,SMc02501,SMc03045,SMc00566
SMc02099,SMc03143,SMc01292,SMc00566,SMc03201,SMa0878
SM_b20857,SMc02099,SMa0875,SMa0878,SMc00467,SMc03045
SMc00640,SM_b20857,SMc03143,SMc04458,SMc01180,SMc01848
SMc02438,SMc00640,SMc03045,SMc03158,SMc02243,SMc04458
SMc02178,SMc02438,SMc02099,SM_b21273,SM_b21274,SMc03158
SMc02882,SMc02882,SM_b20857,SM_b21113,SMc02501,SMc02044
SMc01721,SMc02178,SMc03167,SMc02866,SMc01848,SM_b21273
SMc00991,SMc01721,SMc00640,SMc03023,SMc02044,SM_b21113
SMc00293,SMc00991,SMc02438,SMc00821,SMc03090,SMc03090
SMc03829,SMc00293,SMc02178,SMc03022,SMc03159,SMc02866
SMc02136,SMc03829,SMc02882,SMc03027,SMc02436,SMc03159
SMc00821,SMc02136,SMc01721,SMc03006,SMc03024,SMc02436
SMc03022,SMc03023,SMc00991,SMc03030,SMc00821,SMc03023
SMc03006,SMc03027,SMc00293,SM_b22023,SMc00986,SMc03024
SMc03030,SMc03042,SMc03829,SMc03035,SMc03028,SMc00986
SM_b22023,SMc03014,SMc02136,SMc03034,SMc03022,SMc03028
SMc03042,SMc03035,SMc03024,SMc03044,SMc03006,SMc03027
SMc03014,SMc01959,SMc00986,SMc03052,SMc03030,SMc03035
SMc03021,SMc03021,SMc03028,SMc03051,SM_b22023,SMc03044
SMc01959,SMc03052,SMc03042,SM_b21566,SMc03034,SMc03052
SMc03034,SM_b21566,SMc03014,SMc03019,SMc03051,SM_b21566
SMc03051,SMc03044,SMc01959,SMc03026,SMc03032,SMc03032
SMc03050,SMc03019,SMc03021,SMc03007,SMc03054,SMc03019
SMc03026,SMc03007,SMa2337,SMc03031,SMc03026,SMc03054
SMc03025,SMc03050,SMc03032,SMc03043,SMa2337,SMa2337
SMc03029,SMa2406,SMc03054,SM_b21294,SMc00975,SMc03007
SM_b21294,SMc03031,SMc03050,SMa2406,SMc03041,SMc03031
SM_b21207,SMc03025,SMc00975,SMc03047,SMc03049,SMc00975
SMc03043,SMc03029,SMc03049,SM_b21207,SMc03043,SMc03041
SMc03047,SMc02503,SMc02061,SMc03031,SMc02061,SMc03049
