sample,id_gene,camp_lodi,camp_lut,camp_verb,lodi_lut,lodi_verb,lut verb
1,SM2011_c02755,646,630,355,646,646,630
2,SM2011_c02582,356,357,560,630,356,357
3,SM2011_c02594,355,355,851,356,560,626
4,SM2011_c02616,543,626,561,357,543,560
5,SM2011_c04148,547,620,542,626,547,620
6,SM2011_c04146,542,561,621,620,851,851
7,SM2011_c02841,619,244,589,543,619,244
8,SM2011_c02857,561,542,263,547,621,648
9,SM2011_c02871,611,648,611,244,589,69
10,SM2011_c00325,36,69,453,619,263,621
11,SM2011_c00334,200,611,62,648,36,589
12,SM2011_c00335,135,852,627,69,453,263
13,SM2011_c00345,785,415,23,36,62,852
14,SM2011_c00363,142,97,135,852,627,453
15,SM2011_c00364,110,548,164,415,23,548
16,SM2011_c00365,147,84,785,97,200,415
17,SM2011_c00366,40,161,42,84,164,62
18,SM2011_c00409,546,135,110,548,142,627
19,SM2011_c00427,907,239,545,161,42,23
20,SM2011_c01109,298,149,147,200,40,97
21,SM2011_c01104,103,133,136,239,545,84
22,SM2011_c01095,113,171,625,149,136,161
23,SM2011_c01090,18,785,96,133,625,559
24,SM2011_c01723,605,946,174,171,96,239
25,SM2011_c01720,198,110,46,946,174,41
26,SM2011_c02174,108,147,649,40,649,149
27,SM2011_c02136,63,37,546,142,188,164
28,SM2011_c02250,154,559,43,37,123,133
29,SM2011_c02254,536,208,188,208,132,171
30,SM2011_c02255,117,41,123,559,907,946
31,SM2011_c02277,162,295,132,295,46,46
32,SM2011_c02282,233,122,276,41,276,42
33,SM2011_c02284,131,258,610,122,610,545
34,SM2011_c02324,523,175,298,258,243,37
35,SM2011_c03004,43,43,243,175,103,136
36,SM2011_c03005,163,125,113,125,18,625
37,SM2011_c03006,14,546,607,183,607,208
38,SM2011_c03007,304,183,35,907,56,295
39,SM2011_c03008,114,632,605,632,633,96
40,SM2011_c03009,420,137,198,137,154,122
41,SM2011_c03010,56,115,633,115,808,258
42,SM2011_c03011,207,211,108,56,536,175
43,SM2011_c03012,35,221,63,211,259,174
44,SM2011_c03014,203,298,808,221,120,125
45,SM2011_c03019,245,35,259,103,199,649
46,SM2011_c03020,730,113,120,18,127,188
47,SM2011_c03021,382,605,199,129,52,66
48,SM2011_c03022,891,129,117,154,162,123
49,SM2011_c03023,52,198,127,544,76,183
50,SM2011_c03024,25,108,233,536,235,132
51,SM2011_c03025,17,63,131,194,225,632
52,SM2011_c03026,90,544,523,52,14,276
53,SM2011_c03027,76,194,163,19,304,137
54,SM2011_c03028,195,19,66,309,44,610
55,SM2011_c03029,336,309,235,352,114,115
56,SM2011_c03030,44,117,225,190,568,211
57,SM2011_c03031,121,352,568,162,170,50
58,SM2011_c03032,308,190,170,76,272,221
59,SM2011_c03033,206,233,420,434,182,243
60,SM2011_c03034,95,131,51,285,237,607
61,SM2011_c03035,307,434,272,44,66,129
62,SM2011_c03037,310,285,182,179,92,633
63,SM2011_c03038,724,523,237,27,207,80
64,SM2011_c03039,202,179,92,14,203,808
65,SM2011_c03040,180,163,50,11,245,544
66,SM2011_c03041,189,27,80,304,50,259
67,SM2011_c03042,191,51,730,114,382,194
68,SM2011_c03044,335,11,891,232,80,19
69,SM2011_c03045,173,420,25,207,90,120
70,SM2011_c03046,372,232,17,203,195,309
71,SM2011_c03047,104,730,54,245,336,199
72,SM2011_c03048,51,891,121,382,308,127
73,SM2011_c03049,196,25,206,90,202,352
74,SM2011_c03050,284,17,95,195,180,190
75,SM2011_c03051,33,49,307,336,191,434
76,SM2011_c03052,341,121,310,308,68,285
77,SM2011_c03054,184,206,724,68,54,179
78,SM2011_c03071,99,95,189,49,372,54
79,SM2011_c03072,172,307,335,202,104,49
80,SM2011_c03057,68,310,173,180,33,235
81,SM2011_c00765,67,724,67,191,184,27
82,SM2011_c00766,55,189,196,372,99,225
83,SM2011_c00772,78,67,284,77,172,11
84,SM2011_c00777,72,77,341,104,72,568
85,SM2011_c00795,100,335,55,33,106,170
86,SM2011_c00800,586,173,78,184,74,272
87,SM2011_c00801,71,196,106,99,81,182
88,SM2011_c00815,48,61,100,172,70,237
89,SM2011_c00816,230,284,74,61,38,232
90,SM2011_c00925,47,341,81,45,48,92
91,SM2011_c00922,555,55,586,53,555,61
92,SM2011_c00918,60,45,71,72,557,45
93,SM2011_c00913,75,53,70,73,230,53
94,SM2011_c00912,21,78,38,48,60,77
95,SM2011_c00908,39,100,557,555,21,74
96,SM2011_c00888,59,71,47,141,112,106
97,SM2011_c00887,139,586,75,60,146,70
98,SM2011_c00885,146,73,39,57,64,73
99,SM2011_c00993,569,57,59,230,166,81
